hand,run,attempt,leaf,gt_leaf,outcome,complete,fraction,modulus,force_target,offset_normal,offset_across,terminal_turn_raw,terminal_turn_folded,legacy_turn_excluded,sensor_swing,sensor_turn,peak_force
robotiq,iaR_f0.35_e3e4,0,patch_6,leaf_2_3__4_5,approach timeout,False,0.35,30000.0,4.0,0.0,0.0,,,False,,,0.0
robotiq,iaR_f0.35_e3e4,1,patch_9,leaf_1_3__4_0,approach timeout,False,0.35,30000.0,4.0,0.0,0.0,,,False,,,0.0
robotiq,iaR_f0.35_e3e4,2,patch_1,leaf_4_3__4_9,complete,True,0.35,30000.0,4.0,0.0,0.0,2.3,2.3,False,,,4.565
robotiq,iaR_f0.35_e3e5,0,patch_7,leaf_4_3__4_9,approach timeout,False,0.35,300000.0,4.0,0.0,0.0,,,False,,,0.0
robotiq,iaR_f0.35_e3e5,1,patch_10,leaf_1_3__4_0,complete,True,0.35,300000.0,4.0,0.0,0.0,159.4,20.599999999999994,False,,,4.557
robotiq,iaR_f0.35_e3e5,2,patch_6,leaf_2_3__4_5,complete,True,0.35,300000.0,4.0,0.0,0.0,0.0,0.0,False,,,5.623
robotiq,iaR_f0.35_e3e6,0,patch_6,leaf_4_3__4_9,approach timeout,False,0.35,3000000.0,4.0,0.0,0.0,,,False,,,0.0
robotiq,iaR_f0.35_e3e6,1,patch_7,leaf_2_3__4_5,approach timeout,False,0.35,3000000.0,4.0,0.0,0.0,,,False,,,0.0
robotiq,iaR_f0.35_e3e6,2,patch_2,leaf_4_3__4_9,complete,True,0.35,3000000.0,4.0,0.0,0.0,0.4,0.4,False,,,5.164
robotiq,iaR_f0.55_e3e4,0,patch_1,leaf_4_3__4_9,complete,True,0.55,30000.0,4.0,0.0,0.0,2.7,2.7,False,,,4.728
robotiq,iaR_f0.55_e3e4,1,patch_8,leaf_1_3__4_0,complete,True,0.55,30000.0,4.0,0.0,0.0,28.9,28.9,False,,,5.697
robotiq,iaR_f0.55_e3e4,2,patch_6,leaf_2_3__4_5,"probe timeout (contact 46.7 s, frames 45)",False,0.55,30000.0,4.0,0.0,0.0,0.0,0.0,False,,,5.91
robotiq,iaR_f0.55_e3e5,0,patch_1,leaf_4_3__4_9,complete,True,0.55,300000.0,4.0,0.0,0.0,19.9,19.9,False,,,4.587
robotiq,iaR_f0.55_e3e6,0,patch_1,leaf_4_3__4_9,complete,True,0.55,3000000.0,4.0,0.0,0.0,0.4,0.4,False,,,4.957
robotiq,iaR_f0.55_e3e6,1,patch_3,leaf_2_3__4_5,complete,True,0.55,3000000.0,4.0,0.0,0.0,2.2,2.2,False,,,4.887
robotiq,iaR_f0.55_e3e6,2,patch_7,leaf_2_3__4_5,approach timeout,False,0.55,3000000.0,4.0,0.0,0.0,,,False,,,0.0
robotiq,iaR_f0.75_e3e4,0,patch_3,leaf_2_3__4_5,complete,True,0.75,30000.0,4.0,0.0,0.0,2.5,2.5,False,,,5.361
robotiq,iaR_f0.75_e3e4,1,patch_8,leaf_1_3__4_0,"probe timeout (contact 0.0 s, frames 0)",False,0.75,30000.0,4.0,0.0,0.0,25.9,25.9,False,,,5.642
robotiq,iaR_f0.75_e3e4,2,patch_1,leaf_4_3__4_9,complete,True,0.75,30000.0,4.0,0.0,0.0,4.1,4.1,False,,,4.839
robotiq,iaR_f0.75_e3e5,0,patch_3,leaf_2_3__4_5,complete,True,0.75,300000.0,4.0,0.0,0.0,1.1,1.1,False,,,5.008
robotiq,iaR_f0.75_e3e5,1,patch_11,leaf_1_3__4_0,complete,True,0.75,300000.0,4.0,0.0,0.0,161.2,18.80000000000001,False,,,4.551
