run,attempt,leaf,complete,outcome,half_swing_deg,terminal_residual_deg,commanded_lift_mm
icR_f0.35_e3e4_y-15,0,patch_1,False,approach timeout,,,0.0
icR_f0.35_e3e4_y-15,1,patch_7,False,approach timeout,,,0.0
icR_f0.35_e3e4_y-15,2,patch_4,False,approach timeout,,,0.0
icR_f0.35_e3e4_y-15,3,patch_6,True,complete,17.15,0.0,30.0
icR_f0.35_e3e4_y-30,0,patch_2,False,approach timeout,,,0.0
icR_f0.35_e3e4_y-30,1,patch_7,False,approach timeout,,,0.0
icR_f0.35_e3e4_y-30,2,patch_1,True,complete,2.4,0.0,30.0
icR_f0.35_e3e4_y0,0,patch_6,False,approach timeout,,,0.0
icR_f0.35_e3e4_y0,1,patch_8,False,approach timeout,,,0.0
icR_f0.35_e3e4_y0,2,patch_1,True,complete,5.55,2.5,30.0
icR_f0.35_e3e4_y15,0,patch_5,True,complete,1.9,0.0,30.0
icR_f0.35_e3e4_y15,1,patch_2,True,complete,0.35,0.0,30.0
icR_f0.35_e3e4_y15,2,patch_8,False,"probe timeout (contact 0.0 s, frames 0)",,0.0,0.0
icR_f0.35_e3e4_y15,3,patch_7,False,approach timeout,,,0.0
icR_f0.35_e3e4_y30,0,patch_2,True,complete,0.45,0.1,30.0
icR_f0.35_e3e4_y30,1,patch_8,False,force safety trip (pads 8.18 N),,1.6,25.7
icR_f0.35_e3e4_y30,2,patch_6,True,complete,2.35,0.0,30.0
icR_f0.35_e3e4_y30,3,patch_5,True,complete,,0.1,30.0
icR_f0.35_e3e5_y-15,0,patch_4,True,complete,,0.1,30.0
icR_f0.35_e3e5_y-15,1,patch_2,False,approach timeout,,,0.0
icR_f0.35_e3e5_y-30,0,patch_2,False,approach timeout,,,0.0
icR_f0.35_e3e5_y-30,1,patch_9,False,approach timeout,,,0.0
icR_f0.35_e3e5_y-30,2,patch_7,True,complete,2.95,0.0,30.0
icR_f0.35_e3e5_y-30,3,patch_1,True,complete,4.3,0.0,30.0
icR_f0.35_e3e5_y0,0,patch_7,True,complete,1.95,0.0,30.0
icR_f0.35_e3e5_y0,1,patch_10,True,complete,,152.9,30.0
icR_f0.35_e3e5_y0,2,patch_1,True,complete,7.35,6.4,30.0
icR_f0.35_e3e5_y0,3,patch_3,True,complete,,14.5,30.0
icR_f0.35_e3e5_y15,0,patch_6,True,complete,2.15,0.0,30.0
icR_f0.35_e3e5_y15,1,patch_2,False,"probe timeout (contact 0.0 s, frames 0)",0.5,0.0,30.0
icR_f0.35_e3e5_y15,2,patch_8,True,complete,,0.1,30.0
icR_f0.35_e3e5_y15,3,patch_7,False,no pinch (gripper closed without loading the pads),,0.0,0.0
icR_f0.35_e3e5_y30,0,patch_3,True,complete,0.05,0.0,22.7
icR_f0.35_e3e5_y30,1,patch_9,True,complete,0.95,0.0,30.0
icR_f0.35_e3e5_y30,2,patch_5,True,complete,0.9,0.4,30.0
icR_f0.35_e3e5_y30,3,patch_7,True,complete,,0.1,30.0
icR_f0.35_e3e6_y-15,0,patch_4,True,complete,4.2,0.1,30.0
icR_f0.35_e3e6_y-15,1,patch_3,False,approach timeout,,,0.0
icR_f0.35_e3e6_y-30,0,patch_2,False,approach timeout,,,0.0
icR_f0.35_e3e6_y-30,1,patch_1,False,approach timeout,,,0.0
icR_f0.35_e3e6_y0,0,patch_6,False,approach timeout,,,0.0
icR_f0.35_e3e6_y0,1,patch_7,False,approach timeout,,,0.0
icR_f0.35_e3e6_y0,2,patch_2,True,complete,8.8,0.4,30.0
icR_f0.35_e3e6_y0,3,patch_3,True,complete,,1.4,30.0
icR_f0.35_e3e6_y15,0,patch_3,False,"probe timeout (contact 57.5 s, frames 56)",,0.0,0.2
icR_f0.35_e3e6_y15,1,patch_6,True,complete,0.9,0.0,30.0
icR_f0.35_e3e6_y15,2,patch_8,True,complete,,0.1,30.0
icR_f0.35_e3e6_y15,3,patch_1,True,complete,5.5,3.7,30.0
icR_f0.35_e3e6_y30,0,patch_3,False,"probe timeout (contact 57.6 s, frames 56)",,0.0,0.2
icR_f0.35_e3e6_y30,1,patch_10,True,complete,0.95,0.0,29.9
icR_f0.35_e3e6_y30,2,patch_7,True,complete,0.05,0.0,30.0
icR_f0.35_e3e6_y30,3,patch_5,True,complete,,0.1,30.0
icR_f0.55_e3e4_y-15,0,patch_6,False,approach timeout,,,0.0
