    run    yaw     leaf       gt_leaf              outcome  rows  coverage  rmse  corr  gain_cam  gain_fem  roll_span  swing_cam  swing_fem  pred_cam  pred_fem  normal_max
  s1_y0   0.00  patch_1 leaf_4_3__4_9             complete   261      1.00  6.26  0.14      0.38     -0.21      69.99      11.07       4.32     26.68    -14.70       61.51
  s1_y0   0.00  patch_8 leaf_1_3__4_0             complete   261      0.97 11.47  0.77     -0.13     -0.23      69.93      -1.70      16.14     -9.21    -16.35       88.62
  s1_y0   0.00  patch_6 leaf_2_3__4_5 probe timeout (conta   573      0.87  8.24 -0.12     -0.86     -0.01      69.20       9.96      -0.05    -59.34     -0.46        0.05
  s1_y0   0.00  patch_3 leaf_2_3__4_5             complete   260      0.40 38.84  0.18     -6.87      2.02      69.81     -55.31      13.55   -479.46    140.80       12.73
s1_y-15 -15.00  patch_2 leaf_2_3__4_5             complete   318      0.42 38.62 -0.18       NaN      0.01      69.62      36.43      -3.72       NaN      0.55        0.03
 s1_y15  15.00  patch_1 leaf_4_3__4_9             complete   260      1.00  5.44  0.63      0.05     -0.57      69.99       4.59     -11.46      3.27    -39.87       33.82
 s1_y15  15.00 patch_10 leaf_4_9__3_9             complete   260      0.58 14.59  0.50       NaN     -0.00      69.66      -3.70       0.02       NaN     -0.01        0.25
 s1_y15  15.00  patch_2 leaf_4_3__4_9             complete   283      1.00  1.65 -0.31     -0.00     -0.00      69.79       0.89      -0.03     -0.25     -0.06        0.10

## Camera vs FEM chord: coverage mean 0.78, RMSE median 9.9 deg, corr median 0.16 (leaves 8)
## Swing per 70 deg of roll: FEM median 4.0 deg (p90 14.3), camera median 7.3 deg
## Probe-predicts-swing (FEM): |pred - swing| median 11.6 deg vs zero model 4.0 deg; probe better in 1/8 leaves
## Probe-predicts-swing (camera): |pred - swing| median 11.6 deg vs zero model 7.3 deg; probe better in 1/6 leaves
